id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount
0-vw1VsHqj0,Lenskart,36000,https://www.youtube.com/shorts/0-vw1VsHqj0,1186705,2023-11-27T00:00:00.000Z,,Peyush Bansal Introducing The NEW HUSTLR Sunglasses | #Shorts | #Lenskart,508
uqlbJQfsyh8,Lenskart,304000,https://www.youtube.com/shorts/uqlbJQfsyh8,10074092,2023-10-02T00:00:00.000Z,,The Power Of Two In One | Lenskart Air Switch | Lenskart,928
qliIKIsS2hw,Lenskart,3400,https://www.youtube.com/shorts/qliIKIsS2hw,143821,2023-09-11T00:00:00.000Z,,Find The Perfect Eyewear For Your Face Shape | #Shorts | #Lenskart,20
DD4jukYW8XY,Lenskart,34,https://www.youtube.com/shorts/DD4jukYW8XY,1482,2024-08-27T00:00:00.000Z,,Hustlr Sunglasses are a MUST BUY | #Shorts | #Lenskart,0
xoF605OAOxw,Lenskart,670,https://www.youtube.com/shorts/xoF605OAOxw,25209,2023-12-13T00:00:00.000Z,,TOP SELLING Eyewear Collection | Hustlr | #Shorts | #Lenskart,11
R3wrkL4-y8o,Lenskart,1200,https://www.youtube.com/shorts/R3wrkL4-y8o,47082,2024-01-02T00:00:00.000Z,,Do BLUE LIGHT GLASSES work? | Facts To Know | #Shorts | #Lenskart,18
N7pcOW9kNTM,Lenskart,1500,https://www.youtube.com/shorts/N7pcOW9kNTM,63631,2024-02-04T00:00:00.000Z,,Why so many people are talking about these glasses? | #Shorts | #Lenskart,20
hyGEfVtTrv0,Lenskart,1000,https://www.youtube.com/shorts/hyGEfVtTrv0,50152,2024-02-08T00:00:00.000Z,,Best Frame Color For Each Skin Tone | #Shorts | #Lenskart,4
i_OA7Ps8ncY,Lenskart,943,https://www.youtube.com/shorts/i_OA7Ps8ncY,35071,2024-02-05T00:00:00.000Z,,#SPOTTED: Kapil Sharma Wearing Lenskart Air Switch | #Shorts | #Lenskart,7
LdktgZcrKQ0,Lenskart,738,https://www.youtube.com/shorts/LdktgZcrKQ0,41010,2023-09-10T00:00:00.000Z,,Introducing Lenskart Air Switch Grip | #Shorts | #Lenskart,4
g7xLFu6qk_o,Lenskart,571,https://www.youtube.com/watch?v=g7xLFu6qk_o,42266,2024-01-17T00:00:00.000Z,272000,The Pan India Superstar Vibe ft. Karan Johar & Kiara Advani | Glasses Badlo Vibe Badlo | #Lenskart,24
L3SDDNK_tHk,Lenskart,657,https://www.youtube.com/watch?v=L3SDDNK_tHk,50566,2024-05-31T00:00:00.000Z,272000,How Are Progressive Lenses Made | Inside The Lenskart Factory | #Lenskart,56
5_p9wEC6m20,Lenskart,4600,https://www.youtube.com/shorts/5_p9wEC6m20,137420,2024-01-13T00:00:00.000Z,,NEW HUSTLR Color | As Seen On Peyush Bansal | #Shorts | #Lenskart,41
oRRAfrLncSY,Lenskart,857,https://www.youtube.com/shorts/oRRAfrLncSY,35034,2024-01-05T00:00:00.000Z,,Try Out Peyush Bansal's Fav Hustlr Glasses At Lenskart Stores | #Shorts | #Lenskart,7
nZ_xeDVdSnE,Indian Silicon Valley by Jivraj Singh Sachar,294,https://www.youtube.com/shorts/nZ_xeDVdSnE,7530,2024-08-23T00:00:00.000Z,,Why Lenskart is an AMAZING Company Now!,1
atCT_8jPDg8,Backstage with Millionaires,866,https://www.youtube.com/watch?v=atCT_8jPDg8,43587,2024-04-12T00:00:00.000Z,942000,Lenskart Is Building a MEGA FACTORY in Bengaluru - Indian Startup News 204,68
7yH1UU4-3vw,ONE CHANCE,2600,https://www.youtube.com/watch?v=7yH1UU4-3vw,96417,2024-06-25T00:00:00.000Z,691000,"10 Best Sunglasses Under 500/2000 For Men/Women ?? Lenskart, Voyage Sunglass Haul  2024 | ONE CHANCE",94
DZroEe_s3AI,Lenskart,631,https://www.youtube.com/shorts/DZroEe_s3AI,42505,2024-06-02T00:00:00.000Z,,Signs You Need an Eye Exam | #Shorts | #Lenskart,8
FvO_MIImnEE,Lenskart,1500,https://www.youtube.com/shorts/FvO_MIImnEE,38326,2024-02-23T00:00:00.000Z,,How To Choose GLASSES For Your Face Shape | #Shorts | #Lenskart,11
KUZ5t1GSo28,Lenskart,1500,https://www.youtube.com/shorts/KUZ5t1GSo28,52345,2024-07-26T00:00:00.000Z,,Don’t Do This MISTAKE While Buying Glasses | #Shorts | #Lenskart,8
EVAtnscCU50,Lenskart,677,https://www.youtube.com/watch?v=EVAtnscCU50,52899,2024-07-02T00:00:00.000Z,272000,Coating on Lenses | Inside The Lenskart Factory | #Lenskart,66
HcQasECt2tA,Lenskart,1900,https://www.youtube.com/watch?v=HcQasECt2tA,125044,2024-03-05T00:00:00.000Z,272000,Vineeta Peyush Guess Gen Z Slang | Shark Tank India Season 3 | #Lenskart,82
UtFnlYdr1rQ,Lenskart,6800,https://www.youtube.com/shorts/UtFnlYdr1rQ,176887,2023-12-06T00:00:00.000Z,,Peyush Bansal Talks About Lenskart Shatterproof Lenses | #Shorts | #Lenskart,127
CQNCPS3z84M,Lenskart,10000,https://www.youtube.com/shorts/CQNCPS3z84M,276529,2023-09-08T00:00:00.000Z,,Peyush Bansal Unveils Cricket-Ready Hustlr In A Fresh Color | #Lenskart,114
oVWKY4eEokE,Lenskart,2900,https://www.youtube.com/shorts/oVWKY4eEokE,253342,2024-02-17T00:00:00.000Z,,Exchange Your Old Glasses and Buy a New Pair | #Shorts | #Lenskart,7
CVDOG3iQPIY,RAHUL BISHT,252,https://www.youtube.com/watch?v=CVDOG3iQPIY,41997,2024-01-14T00:00:00.000Z,43800,Lenskart buy one get one free eye glasses unboxing and complete review. Free home eye checkup 2024 ??,62
R8gnBXXQVug,Lenskart,477,https://www.youtube.com/watch?v=R8gnBXXQVug,62061,2023-09-09T00:00:00.000Z,272000,Lenskart Air Switch Grip | Magnetic clip-ons. Firm fit. | #Lenskart,34
XwvY_-1W_Kg,Lenskart,460,https://www.youtube.com/shorts/XwvY_-1W_Kg,19695,2024-03-30T00:00:00.000Z,,Comfortable and Cool Eyeglasses You Must Own | #Shorts | #Lenskart,10
e4IfTXBKqcQ,Lenskart,1300,https://www.youtube.com/watch?v=e4IfTXBKqcQ,106519,2023-11-25T00:00:00.000Z,272000,How to Choose GLASSES for Your Face Shape | PRO Guide to How to Pick Glasses Frames | #Lenskart,46
BM9aphdKhiw,EY India,1400,https://www.youtube.com/watch?v=BM9aphdKhiw,77023,2024-08-19T00:00:00.000Z,15500,"Bharat’s Trailblazers - Interview with Neha Bansal, Co-Founder of Lenskart",4
XWO72Vl4LA0,Lenskart,256,https://www.youtube.com/shorts/XWO72Vl4LA0,20374,2023-11-05T00:00:00.000Z,,2 in 1 Sunglasses | Lenskart Air Switch | #Shorts | #Lenskart,5
Nz-k9q0MtwY,Lenskart,1100,https://www.youtube.com/shorts/Nz-k9q0MtwY,23328,2024-02-12T00:00:00.000Z,,Chocolate Mixes Brand Tiggle That Impressed The Sharks | As Seen On Shark Tank | #Shorts | #Lenskart,12
SJbAesSvb_A,Shivani & Shashi,0,https://www.youtube.com/shorts/SJbAesSvb_A,375531,2024-06-15T00:00:00.000Z,,Spects shopping?? #shorts #shortsindia #minivlog #teluguvlogs #telugu #shopping #lenskart #shisha,203
LOyYmmJunDg,Lenskart,891,https://www.youtube.com/shorts/LOyYmmJunDg,25306,2024-03-17T00:00:00.000Z,,How To Avail Lenskart Buyback | The Big Buyback Festival | #Shorts | #Lenskart,17
YRJE6ZBFP8w,Lenskart,632,https://www.youtube.com/shorts/YRJE6ZBFP8w,25516,2024-02-27T00:00:00.000Z,,Hustlr Glasses Worn & Loved By Celebs | #Shorts | #Lenskart,6
3GcUKQt9Lgw,Indian Hustle With Pranav,10000,https://www.youtube.com/shorts/3GcUKQt9Lgw,313410,2024-03-31T00:00:00.000Z,,Is Lenskart Profitable or Not? #shorts,47
qo22S_FJvL4,Lenskart,669,https://www.youtube.com/shorts/qo22S_FJvL4,26397,2023-11-10T00:00:00.000Z,,You Are Cleaning The Glasses The Wrong Way | #Shorts | #Lenskart,6
MgHC3dsTayQ,Lenskart,687,https://www.youtube.com/shorts/MgHC3dsTayQ,25839,2023-09-17T00:00:00.000Z,,All About The New Jade Green Hustlr | #Shorts | #Lenskart,10
j8IN9J46brA,Jay Kapoor,1200,https://www.youtube.com/shorts/j8IN9J46brA,20136,2024-08-20T00:00:00.000Z,,10k ka LensKart Voucher ??,11
IUsghaBk3kw,Lenskart,402,https://www.youtube.com/shorts/IUsghaBk3kw,21127,2024-01-12T00:00:00.000Z,,All You Need To Know About Lenskart Gold Membership | #Shorts | #Lenskart,2
gSIWijGZra4,Lenskart,650,https://www.youtube.com/shorts/gSIWijGZra4,24515,2024-01-27T00:00:00.000Z,,Everything You Need To Know About Lenskart Gold Membership | #Shorts | #Lenskart,14
2yzr_7onYt0,Lenskart,897,https://www.youtube.com/shorts/2yzr_7onYt0,31745,2024-03-21T00:00:00.000Z,,Everything You Need To Know About Lenskart Exchange Offer | #Shorts | #Lenskart,5
hgp1o6eZmkE,Indian Hustle With Pranav,12000,https://www.youtube.com/shorts/hgp1o6eZmkE,426479,2024-04-20T00:00:00.000Z,,How AI Is Helping Lenskart?,74
heUxMS3n6UQ,Lenskart,1200,https://www.youtube.com/shorts/heUxMS3n6UQ,32444,2024-02-04T00:00:00.000Z,,Peyush Bansal Introducing A NEW HUSTLR Color | Electric Green | #Shorts | #Lenskart,19
gMS7pzIKcPU,Lenskart,562,https://www.youtube.com/shorts/gMS7pzIKcPU,20252,2024-02-20T00:00:00.000Z,,Hustlr Glasses Are A Craze Everywhere | #Shorts | #Lenskart,16
jprtseRUJTs,Lenskart,924,https://www.youtube.com/shorts/jprtseRUJTs,29957,2024-02-01T00:00:00.000Z,,Life Of Lenskart Employees | We're Lenskartians | #Shorts | #Lenskart,15
3FAZJbDoQM8,Lenskart,582,https://www.youtube.com/shorts/3FAZJbDoQM8,27063,2024-01-21T00:00:00.000Z,,Try Out the New Armed Forces Inspired Eyewear at #Lenskart | Patriot Collection,4
n0JP5A0VsCA,Sufiyan and Nida,45000,https://www.youtube.com/shorts/n0JP5A0VsCA,913605,2024-07-03T00:00:00.000Z,,Style Maarne Ki Aadat Sufiyan Ki Jaigi Nahi ?? Mini Vlog ?? #shorts #ytshorts #lenskart,94
vF4HPngGvfs,Allen Choudhary,62000,https://www.youtube.com/shorts/vF4HPngGvfs,823432,2024-01-23T00:00:00.000Z,,How to Buy Perfect Sunglasses????#dailyshorts #mensfashion #sunglasses #lenskart #shopping #style,66
pbr0YFdmPT4,Tejasvi Rajput,63000,https://www.youtube.com/shorts/pbr0YFdmPT4,1018695,2024-07-17T00:00:00.000Z,,I got my new glasses! ??? || Tejasvi Rajput || #ytshorts #lenskart #ad,141
3BkIgSBgwD0,Gen-Z Way,60000,https://www.youtube.com/shorts/3BkIgSBgwD0,736846,2024-05-20T00:00:00.000Z,,Lenskart hidden strategy???? #money #buisness #businessideas #marketing #startup,461
p6yctaNsyss,Angkitjoshi,55000,https://www.youtube.com/shorts/p6yctaNsyss,1150036,2024-07-07T00:00:00.000Z,,Lenskart Gift #lenskart  #angkitjoshi #comedy,103
